iter	Passed	Remaining
0	25	2510
1	47	2347
2	130	4206
3	164	3953
4	189	3594
5	211	3310
6	233	3104
7	258	2969
8	281	2846
9	304	2741
10	330	2672
11	353	2595
12	376	2518
13	399	2452
14	422	2392
15	444	2335
16	468	2287
17	492	2243
18	515	2198
19	538	2153
20	559	2104
21	581	2061
22	605	2026
23	627	1987
24	650	1950
25	672	1914
26	695	1880
27	717	1844
28	738	1807
29	760	1774
30	784	1745
31	806	1713
32	828	1682
33	851	1652
34	874	1623
35	895	1592
36	917	1562
37	941	1536
38	965	1510
39	993	1490
40	1023	1472
41	1049	1449
42	1075	1425
43	1099	1399
44	1123	1373
45	1149	1348
46	1172	1321
47	1197	1297
48	1222	1272
49	1246	1246
50	1275	1225
51	1301	1201
52	1326	1176
53	1349	1149
54	1376	1126
55	1401	1101
56	1427	1077
57	1455	1053
58	1485	1032
59	1512	1008
60	1537	983
61	1559	955
62	1582	929
63	1603	901
64	1626	875
65	1649	849
66	1672	824
67	1695	798
68	1717	771
69	1740	745
70	1763	720
71	1786	694
72	1808	668
73	1831	643
74	1854	618
75	1877	592
76	1901	567
77	1924	542
78	1946	517
79	1970	492
80	1992	467
81	2015	442
82	2037	417
83	2059	392
84	2083	367
85	2106	342
86	2130	318
87	2153	293
88	2176	268
89	2197	244
90	2219	219
91	2243	195
92	2269	170
93	2292	146
94	2315	121
95	2338	97
96	2360	73
97	2383	48
98	2406	24
99	2431	0
