mean_Ax,std_Ax,median_Ax,cov_Ax,twf_perc_Ax,svf_perc_Ax,maxi_Ax,mini_Ax,skewness_Ax,kurt_Ax,mean_AY,std_AY,median_AY,cov_AY,twf_perc_AY,svf_perc_AY,maxi_AY,mini_AY,skewness_AY,kurt_AY,mean_Az,std_Az,median_Az,cov_Az,twf_perc_Az,svf_perc_Az,maxi_Az,mini_Az,skewness_Az,kurt_Az
4.617662,3.747868,4.8891344,1.9359411305785292,1.757406771183014,7.296590089797974,15.174992,-5.286586,[-2.3100022e-02 -2.5897734e-02  1.7667227e-05],[-0.2814312  -0.3478067  -0.30169082],4.617662,3.747868,4.8891344,1.9359411305785292,1.757406771183014,7.296590089797974,15.174992,-5.286586,[-2.3100022e-02 -2.5897734e-02  1.7667227e-05],[-0.2814312  -0.3478067  -0.30169082],4.617662,3.747868,4.8891344,1.9359411305785292,1.757406771183014,7.296590089797974,15.174992,-5.286586,[-2.3100022e-02 -2.5897734e-02  1.7667227e-05],[-0.2814312  -0.3478067  -0.30169082]
4.669474,3.6460607,4.8891344,1.9094660785635698,1.8148695826530457,7.156524300575256,15.802295,-3.845225,[0.17734617 0.13908564 0.14636025],[-0.25825357 -0.22477221 -0.28415537],4.706873,3.7647338,4.711957,1.940292192261598,2.0351441502571106,7.498907089233398,15.802295,-6.502884,[0.03353563 0.04842176 0.08119821],[-0.20430231 -0.19488025 -0.18421149],4.70823,3.7037668,5.186026,1.924517296055024,1.9345839619636536,7.51686418056488,14.054465,-6.502884,[-0.3011738  -0.28724587 -0.2917788 ],[-0.38076448 -0.39942002 -0.39862275]
4.706873,3.7647338,4.711957,1.940292192261598,2.0351441502571106,7.498907089233398,15.802295,-6.502884,[0.03353563 0.04842176 0.08119821],[-0.20430231 -0.19488025 -0.18421149],4.5010524,3.7925265,5.0758886,1.9474410090002128,1.5359352231025696,7.289407014846802,14.605151,-6.1389523,[-0.19820578 -0.24446127 -0.2642759 ],[-0.529356   -0.40190053 -0.4530356 ],4.375464,3.8717043,4.7550545,1.967664691958739,0.726666122674942,7.313349962234497,14.753597,-4.80294,[-0.1197743  -0.1384119  -0.11238442],[-0.76593375 -0.8154044  -0.7479663 ]
4.70823,3.7037668,5.186026,1.924517296055024,1.9345839619636536,7.51686418056488,14.054465,-6.502884,[-0.3011738  -0.28724587 -0.2917788 ],[-0.38076448 -0.39942002 -0.39862275],4.375464,3.8717043,4.7550545,1.967664691958739,0.726666122674942,7.313349962234497,14.753597,-4.80294,[-0.1197743  -0.1384119  -0.11238442],[-0.76593375 -0.8154044  -0.7479663 ],4.3639154,4.063977,4.8867397,2.015930744018493,0.9086319357156754,7.361235857009888,15.922009,-6.8572383,[-0.17592958 -0.15118866 -0.14462721],[-0.41056156 -0.40509987 -0.50022125]
4.5010524,3.7925265,5.0758886,1.9474410090002128,1.5359352231025696,7.289407014846802,14.605151,-6.1389523,[-0.19820578 -0.24446127 -0.2642759 ],[-0.529356   -0.40190053 -0.4530356 ],4.3360777,3.9860015,4.929837,1.996497305669765,0.8463804870843887,7.424684286117554,13.920385,-9.361663,[-0.4116558  -0.4354673  -0.39597768],[-0.38350344 -0.42724848 -0.5129857 ],4.653305,3.618143,4.762237,1.9021417091439425,1.8017010688781738,7.448627233505249,15.208511,-4.271408,[0.10419488 0.14053029 0.0930784 ],[-0.5390041 -0.4309485 -0.5344801]
4.3739395,3.882191,4.7646313,1.970327623204903,1.1384834945201874,7.346870183944702,14.605151,-6.1389523,[-0.1856176  -0.20957512 -0.15847892],[-0.62304974 -0.65461445 -0.68690586],4.476878,3.8815084,5.178843,1.970154397597385,1.368335098028183,7.31095564365387,15.922009,-6.8572383,[-0.21729359 -0.24572194 -0.23815063],[-0.30668807 -0.3681109  -0.30037522],3.9627686,4.272736,4.939414,2.067059765110889,0.07901147194206715,7.581509947776794,12.000167,-9.007308,[-0.48942348 -0.5059944  -0.4941881 ],[-0.72925067 -0.6880965  -0.633296  ]
4.375464,3.8717043,4.7550545,1.967664691958739,0.726666122674942,7.313349962234497,14.753597,-4.80294,[-0.1197743  -0.1384119  -0.11238442],[-0.76593375 -0.8154044  -0.7479663 ],4.653305,3.618143,4.762237,1.9021417091439425,1.8017010688781738,7.448627233505249,15.208511,-4.271408,[0.10419488 0.14053029 0.0930784 ],[-0.5390041 -0.4309485 -0.5344801],4.57834,4.224042,4.783786,2.0552474154665026,1.63649520277977,7.8963587284088135,14.648249,-12.517333,[-0.37309667 -0.42141646 -0.48016265],[-0.26184058  0.10341787  0.3875985 ]
4.328424,3.931831,4.7957573,1.9828844855477898,0.8631405085325241,7.33968722820282,14.753597,-9.361663,[-0.3004428 -0.3178602 -0.2977327],[-0.4876809  -0.25311518 -0.37162638],4.298256,4.111007,4.7694197,2.0275618889672713,1.5048094391822815,7.412713050842285,16.02257,-5.454186,[-0.246898   -0.26996428 -0.30661765],[-0.47607636 -0.48437428 -0.5856154 ],4.3216805,4.319412,4.644917,2.0783195691339946,1.2677750289440155,7.52644145488739,14.691346,-7.9298787,[-0.25826618 -0.2639532  -0.2878435 ],[-0.3686664  -0.44309783 -0.4451003 ]
4.3360777,3.9860015,4.929837,1.996497305669765,0.8463804870843887,7.424684286117554,13.920385,-9.361663,[-0.4116558  -0.4354673  -0.39597768],[-0.38350344 -0.42724848 -0.5129857 ],4.3515773,4.021368,5.0926485,2.0053348914167426,0.9708834439516068,7.7814332246780396,12.852533,-9.007308,[-0.49855518 -0.5353231  -0.49613917],[-0.4825406  -0.36657047 -0.5087826 ],4.774065,3.7572565,4.70238,1.938364389859021,2.092606842517853,7.391164422035217,16.812685,-5.085466,[0.16194022 0.15250392 0.24066564],[-0.1073401  -0.10343766  0.01685476]
4.3639154,4.063977,4.8867397,2.015930744018493,0.9086319357156754,7.361235857009888,15.922009,-6.8572383,[-0.17592958 -0.15118866 -0.14462721],[-0.41056156 -0.40509987 -0.50022125],4.57834,4.224042,4.783786,2.0552474154665026,1.63649520277977,7.8963587284088135,14.648249,-12.517333,[-0.37309667 -0.42141646 -0.48016265],[-0.26184058  0.10341787  0.3875985 ],4.8535714,3.9719336,4.896317,1.992971049284646,2.1404926776885986,7.097864031791687,17.741667,-6.2826095,[0.4203506  0.28385755 0.32385287],[0.70224214 0.4822886  0.5039942 ]
