mean_Ax,std_Ax,median_Ax,cov_Ax,twf_perc_Ax,svf_perc_Ax,maxi_Ax,mini_Ax,skewness_Ax,kurt_Ax,mean_AY,std_AY,median_AY,cov_AY,twf_perc_AY,svf_perc_AY,maxi_AY,mini_AY,skewness_AY,kurt_AY,mean_Az,std_Az,median_Az,cov_Az,twf_perc_Az,svf_perc_Az,maxi_Az,mini_Az,skewness_Az,kurt_Az
4.312374,3.8319716,5.3272886,1.9575422461227305,-0.47406885027885437,7.953821659088135,10.204452,-3.0551105,[-0.37613827 -0.38768783 -0.3656909 ],[-1.4103159 -1.3865671 -1.3998023],4.312374,3.8319716,5.3272886,1.9575422461227305,-0.47406885027885437,7.953821659088135,10.204452,-3.0551105,[-0.37613827 -0.38768783 -0.3656909 ],[-1.4103159 -1.3865671 -1.3998023],4.312374,3.8319716,5.3272886,1.9575422461227305,-0.47406885027885437,7.953821659088135,10.204452,-3.0551105,[-0.37613827 -0.38768783 -0.3656909 ],[-1.4103159 -1.3865671 -1.3998023]
4.1808643,3.88642,5.135746,1.9714005203206135,-0.7326518297195435,8.226770401000977,9.289834,-1.5371324,[-0.33174238 -0.3482299  -0.32734817],[-1.4838659 -1.4644816 -1.4811592],4.0745177,3.9901657,5.0495515,1.9975399146072699,-1.088203489780426,8.27106499671936,9.146176,-1.9537383,[-0.34692302 -0.36309868 -0.34463233],[-1.5023223 -1.481137  -1.4978065],4.080568,3.9637141,4.948992,1.9909078639586053,-0.9637005776166916,8.214799404144287,9.385606,-1.9537383,[-0.29707992 -0.31503525 -0.2921456 ],[-1.4871598 -1.4684423 -1.4846889]
4.0745177,3.9901657,5.0495515,1.9975399146072699,-1.088203489780426,8.27106499671936,9.146176,-1.9537383,[-0.34692302 -0.36309868 -0.34463233],[-1.5023223 -1.481137  -1.4978065],4.44837,3.6698196,4.7742085,1.9156773197565307,1.2174950242042542,8.050790071487427,13.048864,-1.5562866,[-0.12452561 -0.12197983 -0.10603769],[-1.0922842 -1.0936543 -1.0884424],4.3506594,3.6674843,5.353626,1.9150676968314373,1.6448751986026764,7.558764457702637,10.515709,-2.7055445,[-0.5197686 -0.5047065 -0.5046692],[-1.0339835 -1.0400769 -1.03161  ]
4.080568,3.9637141,4.948992,1.9909078639586053,-0.9637005776166916,8.214799404144287,9.385606,-1.9537383,[-0.29707992 -0.31503525 -0.2921456 ],[-1.4871598 -1.4684423 -1.4846889],4.3506594,3.6674843,5.353626,1.9150676968314373,1.6448751986026764,7.558764457702637,10.515709,-2.7055445,[-0.5197686 -0.5047065 -0.5046692],[-1.0339835 -1.0400769 -1.03161  ],4.412488,3.7738595,5.537986,1.9426424017005832,-0.03471716400235891,8.011284828186035,10.17572,-3.7686079,[-0.47564933 -0.48060614 -0.45437595],[-1.3035133 -1.2861364 -1.3256189]
4.44837,3.6698196,4.7742085,1.9156773197565307,1.2174950242042542,8.050790071487427,13.048864,-1.5562866,[-0.12452561 -0.12197983 -0.10603769],[-1.0922842 -1.0936543 -1.0884424],4.333468,3.7871158,5.537986,1.9460513385575509,-0.14844579994678497,7.945441722869873,9.581937,-2.7965274,[-0.43125638 -0.4504296  -0.43737242],[-1.3828384 -1.3521007 -1.3654152],3.8584497,4.289052,5.3919344,2.0710026580336685,-1.7394495606422424,7.873613119125366,9.467011,-6.8093524,[-0.5074167  -0.5382212  -0.49983412],[-1.4122188 -1.3476542 -1.4589956]
4.7830353,3.2359862,4.6329455,1.7988847191406037,2.2697842717170715,7.834107398986816,13.048864,-1.8819096,[0.11604612 0.10397688 0.12320568],[-0.95692205 -0.9225638  -0.9542062 ],4.0606,4.126816,5.2387004,2.0314565700251723,-0.7194833010435104,7.96818733215332,10.17572,-3.7686079,[-0.43471944 -0.4532649  -0.43666583],[-1.3851545 -1.3721681 -1.3836938],3.336048,4.6630163,4.83646,2.1594018429358863,-2.8982844948768616,7.7957987785339355,8.72957,-4.1229625,[-0.47686952 -0.49498606 -0.47727588],[-1.470378  -1.4449067 -1.4645216]
4.3506594,3.6674843,5.353626,1.9150676968314373,1.6448751986026764,7.558764457702637,10.515709,-2.7055445,[-0.5197686 -0.5047065 -0.5046692],[-1.0339835 -1.0400769 -1.03161  ],3.8584497,4.289052,5.3919344,2.0710026580336685,-1.7394495606422424,7.873613119125366,9.467011,-6.8093524,[-0.5074167  -0.5382212  -0.49983412],[-1.4122188 -1.3476542 -1.4589956],3.6847363,4.365537,5.2578545,2.08938679200273,-1.4365723133087158,7.753898859024048,8.949845,-3.519602,[-0.52991956 -0.549501   -0.5262161 ],[-1.4188752 -1.389862  -1.417307 ]
3.9920027,4.0773077,5.4901004,2.019234434410933,-0.9421519786119461,7.509681463241577,9.581937,-2.7965274,[-0.47987854 -0.49560663 -0.47977802],[-1.4257449 -1.4096912 -1.4265715],3.6627083,4.420063,5.286586,2.1023945916023536,-1.7430410385131836,7.926287412643433,8.72957,-4.1229625,[-0.50307316 -0.51715416 -0.4966098 ],[-1.4185761 -1.3934025 -1.4196078],4.0328817,4.1996384,5.379963,2.049301921801475,-0.4656888321042061,7.920301914215088,11.511732,-5.17166,[-0.37904453 -0.39458558 -0.3665598 ],[-1.2724723 -1.2681853 -1.2692491]
4.333468,3.7871158,5.537986,1.9460513385575509,-0.14844579994678497,7.945441722869873,9.581937,-2.7965274,[-0.43125638 -0.4504296  -0.43737242],[-1.3828384 -1.3521007 -1.3654152],3.2060943,4.7368083,4.78618,2.176420984097128,-3.1053903698921204,7.945441961288452,8.6577425,-3.5962193,[-0.4543534  -0.47367916 -0.4497715 ],[-1.5047655 -1.4800253 -1.5037282],3.6416626,4.3960667,4.477317,2.096679914924883,-1.9728925228118896,8.443453311920166,9.074348,-2.55231,[-0.2691219  -0.28399885 -0.2697669 ],[-1.5041537 -1.4862378 -1.4988991]
4.412488,3.7738595,5.537986,1.9426424017005832,-0.03471716400235891,8.011284828186035,10.17572,-3.7686079,[-0.47564933 -0.48060614 -0.45437595],[-1.3035133 -1.2861364 -1.3256189],3.6847363,4.365537,5.2578545,2.08938679200273,-1.4365723133087158,7.753898859024048,8.949845,-3.519602,[-0.52991956 -0.549501   -0.5262161 ],[-1.4188752 -1.389862  -1.417307 ],3.7445614,4.306161,4.8197002,2.0751291349742185,-1.8878953754901886,8.284233093261719,8.73436,-2.2937272,[-0.35997322 -0.3740603  -0.352487  ],[-1.5063013 -1.4843444 -1.5022011]
4.0606,4.126816,5.2387004,2.0314565700251723,-0.7194833010435104,7.96818733215332,10.17572,-3.7686079,[-0.43471944 -0.4532649  -0.43666583],[-1.3851545 -1.3721681 -1.3836938],4.4091673,3.737174,5.7223463,1.9331771864261829,-0.32682017982006073,7.934667587280273,9.644189,-2.6624472,[-0.46560934 -0.48364934 -0.46078798],[-1.455785  -1.433309  -1.4558614],3.7055824,4.3346252,4.8412485,2.0819762832800532,-1.8675439357757568,8.27106499671936,8.992943,-2.844413,[-0.36155543 -0.37501264 -0.35795885],[-1.4961301 -1.4739598 -1.492941 ]
3.8545544,4.299028,5.3225,2.0734097327275394,-1.4772751033306122,7.773053050041199,9.467011,-6.8093524,[-0.4682775  -0.48521736 -0.48013484],[-1.4414771 -1.3737009 -1.3587095],3.6842968,4.4623175,4.7789974,2.1124198130901535,-1.8160667717456818,8.16212511062622,11.511732,-5.17166,[-0.3267043  -0.33437547 -0.32490918],[-1.3973811 -1.3622186 -1.3799357],3.4006536,4.628662,4.4485855,2.1514325714218887,-2.18837833404541,7.9645960330963135,10.573172,-8.298599,[-0.33403152 -0.3288617  -0.30519605],[-1.3412147 -1.3897545 -1.4232429]
3.8584497,4.289052,5.3919344,2.0710026580336685,-1.7394495606422424,7.873613119125366,9.467011,-6.8093524,[-0.5074167  -0.5382212  -0.49983412],[-1.4122188 -1.3476542 -1.4589956],3.6416626,4.3960667,4.477317,2.096679914924883,-1.9728925228118896,8.443453311920166,9.074348,-2.55231,[-0.2691219  -0.28399885 -0.2697669 ],[-1.5041537 -1.4862378 -1.4988991],3.6134179,4.570321,4.278591,2.137830929486438,-1.6879724562168121,7.658127307891846,14.619517,-5.4829173,[-0.16423523 -0.17624368 -0.14646704],[-1.2209703 -1.2263262 -1.2180265]
3.9021697,4.206251,5.3488374,2.050914709199088,-1.7095210552215576,8.04719877243042,8.5715475,-2.3464015,[-0.47002777 -0.4912007  -0.46584255],[-1.5035927 -1.4787798 -1.5015682],3.7218955,4.3254733,4.8220944,2.079777225705492,-1.9405696988105774,8.269867897033691,8.801399,-2.5331557,[-0.36439547 -0.38078222 -0.3609429 ],[-1.5057418 -1.4838886 -1.5022881],2.3254914,5.27281,3.7662134,2.296259998845907,-4.100216746330261,6.725552558898926,10.755137,-6.804564,[-0.42350122 -0.43995333 -0.41782373],[-1.3577634 -1.3418396 -1.3616153]
3.6627083,4.420063,5.286586,2.1023945916023536,-1.7430410385131836,7.926287412643433,8.72957,-4.1229625,[-0.50307316 -0.51715416 -0.4966098 ],[-1.4185761 -1.3934025 -1.4196078],3.7776425,4.28013,4.850826,2.0688474833866755,-1.8483896255493164,8.285430431365967,8.73436,-2.25063,[-0.35465622 -0.3674162  -0.35476464],[-1.5063986 -1.4854972 -1.5027114],2.80288,5.033719,4.2331,2.2435951200707263,-3.653682231903076,7.512075781822205,11.324978,-6.3927464,[-0.39667934 -0.41942748 -0.39896622],[-1.4325516 -1.4046736 -1.4331534]
